Category,precision,recall,f1-score,accuracy
0,0.6590909090909091,0.6444444444444445,0.651685393258427,0.64
1,0.36363636363636365,0.34782608695652173,0.3555555555555555,0.35
2,0.3684210526315789,0.28,0.3181818181818182,0.28
3,0.5,0.18518518518518517,0.2702702702702703,0.19
4,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.73
5,0.7352941176470589,0.8620689655172413,0.7936507936507937,0.86
6,0.5,0.5625,0.5294117647058824,0.56
7,0.6666666666666666,0.4,0.5,0.4
8,0.45454545454545453,0.35714285714285715,0.4,0.36
9,0.1875,0.3333333333333333,0.24000000000000005,0.33
10,0.6521739130434783,0.8823529411764706,0.75,0.88
11,0.6938775510204082,0.7906976744186046,0.7391304347826086,0.79
12,0.6027397260273972,0.8627450980392157,0.7096774193548387,0.86
13,0.44565217391304346,0.5,0.47126436781609193,0.5
14,0.45,0.47368421052631576,0.46153846153846156,0.47
15,0.6923076923076923,0.4090909090909091,0.5142857142857142,0.41
16,0.75,0.7058823529411765,0.7272727272727272,0.71
17,0.7572815533980582,0.5693430656934306,0.6499999999999999,0.57
18,0.631578947368421,0.5853658536585366,0.6075949367088608,0.59
19,0.7291666666666666,0.5737704918032787,0.6422018348623854,0.57
20,0.5,0.23529411764705882,0.31999999999999995,0.24
21,0.782608695652174,0.782608695652174,0.782608695652174,0.78
22,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.71
23,0.5555555555555556,0.3125,0.39999999999999997,0.31
24,0.75,0.6818181818181818,0.7142857142857143,0.68
25,0.780952380952381,0.803921568627451,0.7922705314009661,0.8
26,0.8484848484848485,0.7368421052631579,0.7887323943661972,0.74
27,0.6,0.5625,0.5806451612903225,0.56
28,0.2727272727272727,0.1875,0.2222222222222222,0.19
29,0.05263157894736842,0.09375,0.06741573033707865,0.09
30,0.7352941176470589,0.8152173913043478,0.7731958762886598,0.82
31,0.7272727272727273,0.6486486486486487,0.6857142857142857,0.65
32,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.61
33,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.73
34,0.24528301886792453,0.26,0.2524271844660194,0.26
35,0.7017543859649122,0.6666666666666666,0.6837606837606838,0.67
36,0.3434343434343434,0.68,0.45637583892617445,0.68
37,0.46153846153846156,0.72,0.5625,0.72
38,0.7586206896551724,0.8148148148148148,0.7857142857142857,0.81
39,0.4774774774774775,0.6091954022988506,0.5353535353535355,0.61
40,0.896551724137931,0.5652173913043478,0.6933333333333332,0.57
41,0.9130434782608695,0.7777777777777778,0.84,0.78
42,0.4583333333333333,0.55,0.5,0.55
43,0.7083333333333334,0.5666666666666667,0.6296296296296297,0.57
44,0.3888888888888889,0.3660130718954248,0.3771043771043771,0.37
45,0.7105263157894737,0.6136363636363636,0.6585365853658537,0.61
46,0.6981132075471698,0.7551020408163265,0.7254901960784315,0.76
47,0.8108108108108109,0.6,0.6896551724137931,0.6
48,0.9545454545454546,0.8076923076923077,0.875,0.81
49,0.6973684210526315,0.5698924731182796,0.6272189349112426,0.57
