Category,precision,recall,f1-score,accuracy
Enterprise,0.6333333333333333,0.5671641791044776,0.5984251968503937,0.57
Financial,0.8538461538461538,0.8538461538461538,0.8538461538461538,0.85
Government,0.868421052631579,0.9166666666666666,0.8918918918918918,0.92
Mapping,0.8904109589041096,0.9027777777777778,0.896551724137931,0.9
Messaging,0.8823529411764706,0.7692307692307693,0.8219178082191781,0.77
Payments,0.85,0.85,0.85,0.85
Social,0.8163265306122449,0.8080808080808081,0.8121827411167513,0.81
Telephony,0.8372093023255814,0.7346938775510204,0.782608695652174,0.73
Tools,0.6989247311827957,0.8333333333333334,0.7602339181286552,0.83
eCommerce,0.9252336448598131,0.8389830508474576,0.88,0.84
