Category,precision,recall,f1-score,accuracy
Advertising,0.65,0.6190476190476191,0.6341463414634146,0.62
Analytics,0.2857142857142857,0.1,0.14814814814814817,0.1
Application Development,0.75,0.15,0.24999999999999997,0.15
Backend,0.8571428571428571,0.2222222222222222,0.35294117647058826,0.22
Banking,0.9166666666666666,0.4583333333333333,0.611111111111111,0.46
Bitcoin,0.8125,0.5652173913043478,0.6666666666666667,0.57
Chat,0.7142857142857143,0.625,0.6666666666666666,0.62
Cloud,0.5813953488372093,0.6944444444444444,0.6329113924050633,0.69
Data,0.7,0.2692307692307692,0.3888888888888889,0.27
Database,1.0,0.03571428571428571,0.0689655172413793,0.04
Domains,0.9,0.9,0.9,0.9
Education,0.7105263157894737,0.7714285714285715,0.7397260273972601,0.77
Email,0.8431372549019608,0.8269230769230769,0.8349514563106797,0.83
Enterprise,0.5625,0.21176470588235294,0.30769230769230765,0.21
Entertainment,0.3333333333333333,0.10526315789473684,0.16,0.11
Events,0.7037037037037037,0.8636363636363636,0.7755102040816326,0.86
File Sharing,0.6875,0.7333333333333333,0.7096774193548386,0.73
Financial,0.518918918918919,0.8205128205128205,0.6357615894039735,0.82
Games,0.875,0.8076923076923077,0.8400000000000001,0.81
Government,0.6842105263157895,0.65,0.6666666666666667,0.65
Images,0.5,0.15384615384615385,0.23529411764705882,0.15
Internet of Things,0.8,0.5454545454545454,0.6486486486486486,0.55
Mapping,0.64,0.8205128205128205,0.7191011235955057,0.82
Media,1.0,0.0625,0.11764705882352941,0.06
Medical,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.67
Messaging,0.76,0.8837209302325582,0.8172043010752689,0.88
Music,0.8431372549019608,0.9772727272727273,0.9052631578947369,0.98
News Services,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.36
Office,0.0,0.0,0.0,0.0
Other,0.0,0.0,0.0,0.0
Payments,0.7456140350877193,0.8585858585858586,0.7981220657276996,0.86
Photos,0.7083333333333334,0.723404255319149,0.7157894736842105,0.72
Project Management,0.5555555555555556,0.6666666666666666,0.606060606060606,0.67
Real Estate,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.83
Reference,0.5,0.07692307692307693,0.13333333333333336,0.08
Science,0.7959183673469388,0.65,0.7155963302752293,0.65
Search,0.48717948717948717,0.40425531914893614,0.4418604651162791,0.4
Security,0.7142857142857143,0.38461538461538464,0.5,0.38
Shipping,0.7857142857142857,0.88,0.830188679245283,0.88
Social,0.5384615384615384,0.620253164556962,0.5764705882352941,0.62
Sports,0.9583333333333334,0.8846153846153846,0.9199999999999999,0.88
Stocks,0.88,0.9166666666666666,0.8979591836734694,0.92
Storage,0.6428571428571429,0.45,0.5294117647058824,0.45
Telephony,0.7254901960784313,0.6491228070175439,0.6851851851851852,0.65
Tools,0.28823529411764703,0.6490066225165563,0.3991853360488798,0.65
Transportation,0.8108108108108109,0.6521739130434783,0.7228915662650603,0.65
Travel,0.7843137254901961,0.8888888888888888,0.8333333333333334,0.89
Video,0.6417910447761194,0.8958333333333334,0.7478260869565218,0.9
Weather,0.896551724137931,0.9285714285714286,0.912280701754386,0.93
eCommerce,0.7160493827160493,0.6304347826086957,0.6705202312138728,0.63
