Category,precision,recall,f1-score,accuracy
Advertising,0.7073170731707317,0.6904761904761905,0.6987951807228916,0.69
Analytics,0.38095238095238093,0.4,0.3902439024390244,0.4
Application Development,0.3157894736842105,0.3,0.3076923076923077,0.3
Backend,0.625,0.37037037037037035,0.4651162790697674,0.37
Banking,0.7368421052631579,0.5833333333333334,0.6511627906976745,0.58
Bitcoin,0.5833333333333334,0.6086956521739131,0.5957446808510638,0.61
Chat,0.6875,0.6875,0.6875,0.69
Cloud,0.5238095238095238,0.6111111111111112,0.5641025641025642,0.61
Data,0.5294117647058824,0.34615384615384615,0.41860465116279066,0.35
Database,0.2727272727272727,0.21428571428571427,0.23999999999999996,0.21
Domains,0.8095238095238095,0.85,0.8292682926829269,0.85
Education,0.6666666666666666,0.7428571428571429,0.7027027027027027,0.74
Email,0.7586206896551724,0.8461538461538461,0.8,0.85
Enterprise,0.49333333333333335,0.43529411764705883,0.4625,0.44
Entertainment,0.7,0.3684210526315789,0.48275862068965514,0.37
Events,0.5714285714285714,0.9090909090909091,0.7017543859649122,0.91
File Sharing,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.73
Financial,0.6747967479674797,0.7094017094017094,0.6916666666666667,0.71
Games,0.8666666666666667,0.75,0.8041237113402062,0.75
Government,0.6911764705882353,0.7833333333333333,0.7343749999999999,0.78
Images,0.17647058823529413,0.23076923076923078,0.20000000000000004,0.23
Internet of Things,0.5769230769230769,0.6818181818181818,0.6249999999999999,0.68
Mapping,0.6770833333333334,0.8333333333333334,0.7471264367816092,0.83
Media,0.3,0.1875,0.23076923076923075,0.19
Medical,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.57
Messaging,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.84
Music,0.8235294117647058,0.9545454545454546,0.8842105263157896,0.95
News Services,0.5454545454545454,0.42857142857142855,0.4799999999999999,0.43
Office,0.25,0.2,0.22222222222222224,0.2
Other,0.16666666666666666,0.06666666666666667,0.09523809523809522,0.07
Payments,0.7345132743362832,0.8383838383838383,0.7830188679245284,0.84
Photos,0.7105263157894737,0.574468085106383,0.6352941176470589,0.57
Project Management,0.53125,0.5666666666666667,0.5483870967741935,0.57
Real Estate,0.8846153846153846,0.7666666666666667,0.8214285714285715,0.77
Reference,0.34285714285714286,0.23076923076923078,0.2758620689655173,0.23
Science,0.75,0.7,0.7241379310344827,0.7
Search,0.43137254901960786,0.46808510638297873,0.4489795918367347,0.47
Security,0.6097560975609756,0.6410256410256411,0.625,0.64
Shipping,0.7916666666666666,0.76,0.7755102040816326,0.76
Social,0.6341463414634146,0.6582278481012658,0.6459627329192545,0.66
Sports,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.87
Stocks,0.8214285714285714,0.9583333333333334,0.8846153846153847,0.96
Storage,0.4666666666666667,0.35,0.4,0.35
Telephony,0.7090909090909091,0.6842105263157895,0.6964285714285715,0.68
Tools,0.4573170731707317,0.4966887417218543,0.47619047619047616,0.5
Transportation,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.74
Travel,0.6842105263157895,0.8666666666666667,0.7647058823529413,0.87
Video,0.7454545454545455,0.8541666666666666,0.7961165048543689,0.85
Weather,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.82
eCommerce,0.7023809523809523,0.6413043478260869,0.6704545454545454,0.64
