Category,precision,recall,f1-score,accuracy
Advertising,0.8648648648648649,0.7272727272727273,0.7901234567901235,0.73
Analytics,0.8222222222222222,0.925,0.8705882352941177,0.92
Application Development,0.78,0.7090909090909091,0.7428571428571428,0.71
Backend,0.8823529411764706,0.7692307692307693,0.8219178082191781,0.77
Banking,0.8809523809523809,0.925,0.9024390243902439,0.92
Bitcoin,0.9444444444444444,0.9714285714285714,0.9577464788732395,0.97
Chat,0.9459459459459459,0.9722222222222222,0.9589041095890412,0.97
Cloud,0.7948717948717948,0.8378378378378378,0.8157894736842105,0.84
Data,0.7368421052631579,0.8484848484848485,0.7887323943661972,0.85
Database,0.7954545454545454,0.875,0.8333333333333334,0.88
Domains,0.875,0.9655172413793104,0.9180327868852458,0.97
Education,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.82
Email,0.8372093023255814,0.8571428571428571,0.8470588235294119,0.86
Entertainment,0.85,0.85,0.85,0.85
Events,0.85,1.0,0.9189189189189189,1.0
File Sharing,1.0,0.95,0.9743589743589743,0.95
Games,0.975609756097561,0.8888888888888888,0.9302325581395349,0.89
Government,0.85,0.7391304347826086,0.7906976744186046,0.74
Images,0.7872340425531915,0.925,0.8505747126436781,0.92
Internet of Things,0.8571428571428571,0.9130434782608695,0.8842105263157894,0.91
Mapping,0.775,0.775,0.775,0.78
Marketing,0.8,0.8648648648648649,0.8311688311688312,0.86
Media,0.875,0.9333333333333333,0.9032258064516129,0.93
Medical,0.8958333333333334,0.9347826086956522,0.9148936170212766,0.93
Messaging,0.8,0.7777777777777778,0.7887323943661971,0.78
Music,0.9361702127659575,0.9777777777777777,0.9565217391304347,0.98
News Services,0.9285714285714286,0.8125,0.8666666666666666,0.81
Other,0.5306122448979592,0.65,0.5842696629213483,0.65
Payments,0.8857142857142857,0.7948717948717948,0.8378378378378378,0.79
Photos,0.8888888888888888,0.8205128205128205,0.8533333333333333,0.82
Project Management,0.9696969696969697,0.8205128205128205,0.8888888888888888,0.82
Real Estate,0.9428571428571428,1.0,0.9705882352941176,1.0
Science,0.86,0.86,0.8599999999999999,0.86
Security,0.8387096774193549,0.6842105263157895,0.7536231884057972,0.68
Shipping,0.9444444444444444,1.0,0.9714285714285714,1.0
Social,0.7058823529411765,0.5714285714285714,0.6315789473684211,0.57
Sports,0.9142857142857143,0.9411764705882353,0.9275362318840579,0.94
Stocks,0.9761904761904762,1.0,0.9879518072289156,1.0
Storage,0.9024390243902439,0.9736842105263158,0.9367088607594938,0.97
Telephony,0.7547169811320755,0.7843137254901961,0.7692307692307692,0.78
Transportation,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.88
Travel,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.88
Video,0.8787878787878788,0.8055555555555556,0.8405797101449276,0.81
Weather,0.9736842105263158,1.0,0.9866666666666666,1.0
eCommerce,0.7777777777777778,0.717948717948718,0.7466666666666666,0.72
