Category,precision,recall,f1-score,accuracy
0,0.71875,0.575,0.6388888888888888,0.57
1,0.8648648648648649,0.8,0.8311688311688312,0.8
2,0.7368421052631579,0.7,0.717948717948718,0.7
3,0.7631578947368421,0.725,0.7435897435897436,0.72
4,0.975609756097561,1.0,0.9876543209876543,1.0
5,0.9512195121951219,0.975,0.9629629629629629,0.98
6,0.9512195121951219,0.975,0.9629629629629629,0.98
7,0.7272727272727273,0.8,0.7619047619047619,0.8
8,0.5882352941176471,0.75,0.6593406593406593,0.75
9,0.6382978723404256,0.75,0.6896551724137931,0.75
10,0.9736842105263158,0.925,0.9487179487179487,0.92
11,0.9090909090909091,0.75,0.821917808219178,0.75
12,0.7560975609756098,0.775,0.7654320987654321,0.78
13,0.8409090909090909,0.925,0.8809523809523809,0.92
14,0.7307692307692307,0.95,0.8260869565217391,0.95
15,0.8409090909090909,0.925,0.8809523809523809,0.92
16,0.9,0.675,0.7714285714285715,0.68
17,0.7222222222222222,0.65,0.6842105263157895,0.65
18,0.6730769230769231,0.875,0.7608695652173914,0.88
19,0.8372093023255814,0.9,0.8674698795180723,0.9
20,0.717948717948718,0.7,0.7088607594936709,0.7
21,0.7857142857142857,0.825,0.8048780487804879,0.82
22,0.9375,0.75,0.8333333333333334,0.75
23,0.8636363636363636,0.9743589743589743,0.9156626506024096,0.97
24,0.7631578947368421,0.725,0.7435897435897436,0.72
25,0.918918918918919,0.85,0.8831168831168831,0.85
26,0.9459459459459459,0.875,0.9090909090909091,0.88
27,0.65,0.65,0.65,0.65
28,0.7954545454545454,0.875,0.8333333333333334,0.88
29,0.7878787878787878,0.65,0.7123287671232876,0.65
30,0.8409090909090909,0.925,0.8809523809523809,0.92
31,0.9,0.9,0.9,0.9
32,0.7837837837837838,0.725,0.7532467532467533,0.72
33,0.7714285714285715,0.675,0.72,0.68
34,0.8809523809523809,0.925,0.9024390243902439,0.92
35,0.46,0.575,0.5111111111111111,0.57
36,0.8611111111111112,0.775,0.8157894736842105,0.78
37,0.975,0.975,0.975,0.98
38,0.9666666666666667,0.725,0.8285714285714286,0.72
39,0.7631578947368421,0.725,0.7435897435897436,0.72
40,0.8518518518518519,0.575,0.6865671641791045,0.57
41,0.5285714285714286,0.925,0.6727272727272727,0.92
42,0.90625,0.725,0.8055555555555556,0.72
43,0.9736842105263158,0.925,0.9487179487179487,0.92
44,0.6451612903225806,0.5,0.5633802816901409,0.5
