Category,precision,recall,f1-score,accuracy
Advertising,0.9655172413793104,0.6363636363636364,0.7671232876712328,0.64
Analytics,0.7090909090909091,0.975,0.8210526315789474,0.98
Application Development,0.9473684210526315,0.6545454545454545,0.7741935483870968,0.65
Backend,0.896551724137931,0.6666666666666666,0.7647058823529411,0.67
Banking,0.9285714285714286,0.975,0.9512195121951219,0.98
Bitcoin,1.0,0.9714285714285714,0.9855072463768116,0.97
Chat,0.96875,0.8611111111111112,0.9117647058823529,0.86
Cloud,0.8157894736842105,0.8378378378378378,0.8266666666666667,0.84
Data,0.7894736842105263,0.9090909090909091,0.8450704225352113,0.91
Database,0.9142857142857143,0.8,0.8533333333333334,0.8
Domains,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.97
Education,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.88
Email,0.8666666666666667,0.9285714285714286,0.896551724137931,0.93
Entertainment,0.8181818181818182,0.9,0.8571428571428571,0.9
Events,0.8095238095238095,1.0,0.8947368421052632,1.0
File Sharing,0.9285714285714286,0.975,0.9512195121951219,0.98
Games,1.0,0.8888888888888888,0.9411764705882353,0.89
Government,0.8888888888888888,0.8695652173913043,0.8791208791208791,0.87
Images,0.9069767441860465,0.975,0.9397590361445783,0.98
Internet of Things,0.8775510204081632,0.9347826086956522,0.9052631578947369,0.93
Mapping,0.7916666666666666,0.95,0.8636363636363636,0.95
Marketing,0.7948717948717948,0.8378378378378378,0.8157894736842105,0.84
Media,0.9230769230769231,0.8,0.8571428571428571,0.8
Medical,0.9111111111111111,0.8913043478260869,0.9010989010989011,0.89
Messaging,0.673469387755102,0.9166666666666666,0.7764705882352941,0.92
Music,0.8979591836734694,0.9777777777777777,0.9361702127659575,0.98
News Services,0.8709677419354839,0.84375,0.8571428571428571,0.84
Other,0.6764705882352942,0.575,0.6216216216216216,0.57
Payments,0.8222222222222222,0.9487179487179487,0.8809523809523809,0.95
Photos,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.85
Project Management,0.9473684210526315,0.9230769230769231,0.935064935064935,0.92
Real Estate,0.9428571428571428,1.0,0.9705882352941176,1.0
Science,0.8541666666666666,0.82,0.8367346938775511,0.82
Security,0.8571428571428571,0.7894736842105263,0.821917808219178,0.79
Shipping,0.9622641509433962,1.0,0.9807692307692307,1.0
Social,0.8571428571428571,0.5714285714285714,0.6857142857142857,0.57
Sports,0.9393939393939394,0.9117647058823529,0.9253731343283582,0.91
Stocks,1.0,1.0,1.0,1.0
Storage,0.8333333333333334,0.9210526315789473,0.875,0.92
Telephony,0.9166666666666666,0.8627450980392157,0.8888888888888888,0.86
Transportation,0.9,0.7941176470588235,0.84375,0.79
Travel,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.98
Video,0.8157894736842105,0.8611111111111112,0.8378378378378378,0.86
Weather,0.9473684210526315,0.972972972972973,0.96,0.97
eCommerce,0.6739130434782609,0.7948717948717948,0.7294117647058823,0.79
