Category,precision,recall,f1-score,accuracy
Advertising,0.7777777777777778,0.5675675675675675,0.65625,0.57
Analytics,0.75,0.7346938775510204,0.7422680412371134,0.73
Application Development,0.7567567567567568,0.5283018867924528,0.6222222222222222,0.53
Backend,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.64
Banking,0.9772727272727273,0.9347826086956522,0.9555555555555556,0.93
Bitcoin,0.9428571428571428,0.8918918918918919,0.9166666666666666,0.89
Chat,0.9210526315789473,0.875,0.8974358974358975,0.88
Cloud,0.7435897435897436,0.8055555555555556,0.7733333333333333,0.81
Data,0.6857142857142857,0.631578947368421,0.6575342465753424,0.63
Database,0.6222222222222222,0.6511627906976745,0.6363636363636364,0.65
Domains,0.9534883720930233,1.0,0.9761904761904762,1.0
Education,0.8536585365853658,0.8333333333333334,0.8433734939759037,0.83
Email,0.8627450980392157,0.9361702127659575,0.8979591836734694,0.94
Entertainment,0.8275862068965517,0.7741935483870968,0.8,0.77
Events,0.8297872340425532,0.8666666666666667,0.8478260869565217,0.87
File Sharing,0.8947368421052632,0.7727272727272727,0.8292682926829268,0.77
Games,0.71875,0.7931034482758621,0.7540983606557377,0.79
Government,0.8,0.75,0.7741935483870968,0.75
Images,0.8387096774193549,0.896551724137931,0.8666666666666667,0.9
Internet of Things,0.8305084745762712,0.9423076923076923,0.8828828828828829,0.94
Mapping,0.7391304347826086,0.7727272727272727,0.7555555555555555,0.77
Marketing,0.8,0.7368421052631579,0.7671232876712328,0.74
Media,0.5789473684210527,0.6666666666666666,0.6197183098591549,0.67
Medical,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.9
Messaging,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.71
Music,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.88
News Services,0.9,0.9230769230769231,0.9113924050632911,0.92
Other,0.45714285714285713,0.43243243243243246,0.4444444444444444,0.43
Payments,0.7777777777777778,0.8571428571428571,0.8155339805825242,0.86
Photos,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.89
Project Management,0.7804878048780488,0.8648648648648649,0.8205128205128205,0.86
Real Estate,0.9032258064516129,0.8484848484848485,0.875,0.85
Science,0.8,0.7777777777777778,0.7887323943661971,0.78
Security,0.6097560975609756,0.6944444444444444,0.6493506493506493,0.69
Shipping,0.9512195121951219,0.9069767441860465,0.9285714285714286,0.91
Social,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.66
Sports,0.9705882352941176,0.825,0.8918918918918919,0.82
Stocks,0.9705882352941176,1.0,0.9850746268656716,1.0
Storage,0.7567567567567568,0.7567567567567568,0.7567567567567568,0.76
Telephony,0.6296296296296297,0.7555555555555555,0.6868686868686869,0.76
Transportation,0.7435897435897436,0.8529411764705882,0.7945205479452054,0.85
Travel,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.83
Video,0.8695652173913043,0.7843137254901961,0.8247422680412371,0.78
Weather,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.98
eCommerce,0.5833333333333334,0.6774193548387096,0.6268656716417911,0.68
