Category,precision,recall,f1-score,accuracy
Advertising,0.8461538461538461,0.5945945945945946,0.6984126984126984,0.59
Analytics,0.9333333333333333,0.8571428571428571,0.8936170212765957,0.86
Application Development,0.9767441860465116,0.7924528301886793,0.875,0.79
Backend,0.9696969696969697,0.8888888888888888,0.927536231884058,0.89
Banking,0.8979591836734694,0.9565217391304348,0.9263157894736842,0.96
Bitcoin,0.9444444444444444,0.918918918918919,0.9315068493150684,0.92
Chat,0.9069767441860465,0.975,0.9397590361445783,0.98
Cloud,0.717391304347826,0.9166666666666666,0.8048780487804879,0.92
Data,0.9615384615384616,0.6578947368421053,0.78125,0.66
Database,0.9230769230769231,0.8372093023255814,0.8780487804878049,0.84
Domains,0.9761904761904762,1.0,0.9879518072289156,1.0
Education,0.7083333333333334,0.8095238095238095,0.7555555555555555,0.81
Email,0.8775510204081632,0.9148936170212766,0.8958333333333334,0.91
Entertainment,0.9655172413793104,0.9032258064516129,0.9333333333333333,0.9
Events,0.8936170212765957,0.9333333333333333,0.9130434782608695,0.93
File Sharing,0.9761904761904762,0.9318181818181818,0.9534883720930233,0.93
Games,0.6857142857142857,0.8275862068965517,0.75,0.83
Government,0.6590909090909091,0.6041666666666666,0.6304347826086957,0.6
Images,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.86
Internet of Things,0.85,0.9807692307692307,0.9107142857142857,0.98
Mapping,0.7021276595744681,0.75,0.7252747252747253,0.75
Marketing,0.8717948717948718,0.8947368421052632,0.8831168831168831,0.89
Media,0.8928571428571429,0.7575757575757576,0.819672131147541,0.76
Medical,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.95
Messaging,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.86
Music,0.8448275862068966,1.0,0.9158878504672897,1.0
News Services,0.8837209302325582,0.9743589743589743,0.926829268292683,0.97
Other,0.8888888888888888,0.6486486486486487,0.75,0.65
Payments,0.7413793103448276,0.8775510204081632,0.8037383177570093,0.88
Photos,0.84375,0.9642857142857143,0.9,0.96
Project Management,0.8717948717948718,0.918918918918919,0.8947368421052632,0.92
Real Estate,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.94
Science,0.717948717948718,0.7777777777777778,0.7466666666666667,0.78
Security,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.56
Shipping,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.98
Social,0.65625,0.6,0.6268656716417911,0.6
Sports,1.0,0.725,0.8405797101449275,0.72
Stocks,0.9705882352941176,1.0,0.9850746268656716,1.0
Storage,0.8947368421052632,0.918918918918919,0.9066666666666666,0.92
Telephony,0.7894736842105263,0.6666666666666666,0.7228915662650602,0.67
Transportation,0.7428571428571429,0.7647058823529411,0.7536231884057971,0.76
Travel,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.79
Video,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.86
Weather,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.98
eCommerce,0.6785714285714286,0.6129032258064516,0.6440677966101694,0.61
