Category,precision,recall,f1-score,accuracy
Advertising,0.875,0.5675675675675675,0.6885245901639344,0.57
Analytics,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.88
Application Development,0.8695652173913043,0.7547169811320755,0.8080808080808081,0.75
Backend,0.8918918918918919,0.9166666666666666,0.9041095890410958,0.92
Banking,0.9777777777777777,0.9565217391304348,0.967032967032967,0.96
Bitcoin,1.0,0.8918918918918919,0.9428571428571428,0.89
Chat,0.9069767441860465,0.975,0.9397590361445783,0.98
Cloud,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.83
Data,0.8,0.7368421052631579,0.7671232876712328,0.74
Database,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.86
Domains,0.9534883720930233,1.0,0.9761904761904762,1.0
Education,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.81
Email,0.8333333333333334,0.851063829787234,0.8421052631578947,0.85
Entertainment,0.90625,0.9354838709677419,0.9206349206349206,0.94
Events,0.8958333333333334,0.9555555555555556,0.9247311827956989,0.96
File Sharing,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.93
Games,0.7352941176470589,0.8620689655172413,0.7936507936507936,0.86
Government,0.8205128205128205,0.6666666666666666,0.735632183908046,0.67
Images,0.8709677419354839,0.9310344827586207,0.9,0.93
Internet of Things,0.85,0.9807692307692307,0.9107142857142857,0.98
Mapping,0.7346938775510204,0.8181818181818182,0.7741935483870968,0.82
Marketing,0.9230769230769231,0.9473684210526315,0.935064935064935,0.95
Media,0.7837837837837838,0.8787878787878788,0.8285714285714286,0.88
Medical,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9
Messaging,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.86
Music,0.8679245283018868,0.9387755102040817,0.9019607843137255,0.94
News Services,0.8837209302325582,0.9743589743589743,0.926829268292683,0.97
Other,0.7575757575757576,0.6756756756756757,0.7142857142857143,0.68
Payments,0.7678571428571429,0.8775510204081632,0.819047619047619,0.88
Photos,0.896551724137931,0.9285714285714286,0.9122807017543859,0.93
Project Management,0.8421052631578947,0.8648648648648649,0.8533333333333334,0.86
Real Estate,0.9655172413793104,0.8484848484848485,0.9032258064516129,0.85
Science,0.6875,0.6111111111111112,0.6470588235294118,0.61
Security,0.6153846153846154,0.6666666666666666,0.64,0.67
Shipping,0.9111111111111111,0.9534883720930233,0.9318181818181818,0.95
Social,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.57
Sports,0.9090909090909091,0.75,0.821917808219178,0.75
Stocks,1.0,1.0,1.0,1.0
Storage,0.9117647058823529,0.8378378378378378,0.8732394366197183,0.84
Telephony,0.725,0.6444444444444445,0.6823529411764706,0.64
Transportation,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.74
Travel,0.8974358974358975,0.8333333333333334,0.8641975308641975,0.83
Video,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.86
Weather,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.98
eCommerce,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.68
