Category,precision,recall,f1-score,accuracy
Advertising,0.8,0.8,0.8000000000000002,0.8
Analytics,0.8333333333333334,0.875,0.8536585365853658,0.88
Application Development,0.8095238095238095,0.723404255319149,0.7640449438202246,0.72
Backend,0.7631578947368421,0.8529411764705882,0.8055555555555555,0.85
Banking,0.8909090909090909,1.0,0.9423076923076923,1.0
Bitcoin,0.926829268292683,0.9743589743589743,0.9500000000000001,0.97
Chat,0.95,0.9743589743589743,0.9620253164556962,0.97
Cloud,0.875,0.8333333333333334,0.8536585365853658,0.83
Data,0.7391304347826086,0.7391304347826086,0.7391304347826085,0.74
Database,0.8529411764705882,0.6590909090909091,0.7435897435897436,0.66
Domains,1.0,0.9428571428571428,0.9705882352941176,0.94
Education,0.9210526315789473,0.8974358974358975,0.9090909090909091,0.9
Email,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.83
Enterprise,0.6176470588235294,0.5675675675675675,0.5915492957746479,0.57
Entertainment,0.8536585365853658,0.9722222222222222,0.9090909090909091,0.97
Events,0.9423076923076923,1.0,0.9702970297029703,1.0
File Sharing,0.9166666666666666,0.9428571428571428,0.9295774647887323,0.94
Financial,0.696969696969697,0.6052631578947368,0.6478873239436619,0.61
Games,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.96
Government,0.8478260869565217,0.8478260869565217,0.8478260869565218,0.85
Images,0.7755102040816326,0.9047619047619048,0.8351648351648353,0.9
Internet of Things,0.8378378378378378,0.9393939393939394,0.8857142857142858,0.94
Mapping,0.8275862068965517,0.7741935483870968,0.7999999999999999,0.77
Marketing,0.8536585365853658,0.8974358974358975,0.875,0.9
Media,0.9,1.0,0.9473684210526316,1.0
Medical,0.9361702127659575,0.9565217391304348,0.9462365591397849,0.96
Messaging,0.7368421052631579,0.8484848484848485,0.7887323943661972,0.85
Music,0.9777777777777777,0.9565217391304348,0.967032967032967,0.96
News Services,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.98
Other,0.6666666666666666,0.6470588235294118,0.6567164179104478,0.65
Payments,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.83
Photos,0.926829268292683,0.7755102040816326,0.8444444444444446,0.78
Project Management,0.7948717948717948,0.8157894736842105,0.8051948051948051,0.82
Real Estate,0.9777777777777777,0.9565217391304348,0.967032967032967,0.96
Reference,0.6111111111111112,0.5365853658536586,0.5714285714285715,0.54
Science,0.8043478260869565,0.8409090909090909,0.8222222222222223,0.84
Search,0.625,0.5555555555555556,0.5882352941176471,0.56
Security,0.6923076923076923,0.7297297297297297,0.7105263157894737,0.73
Shipping,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.96
Social,0.696969696969697,0.6388888888888888,0.6666666666666666,0.64
Sports,0.9347826086956522,0.9148936170212766,0.924731182795699,0.91
Stocks,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9
Storage,0.9069767441860465,0.975,0.9397590361445783,0.98
Telephony,0.8888888888888888,0.851063829787234,0.8695652173913044,0.85
Tools,0.55,0.5365853658536586,0.54320987654321,0.54
Transportation,0.9230769230769231,0.8780487804878049,0.9,0.88
Travel,0.8285714285714286,0.7837837837837838,0.8055555555555555,0.78
Video,0.9666666666666667,0.8787878787878788,0.9206349206349207,0.88
Weather,0.85,0.9714285714285714,0.9066666666666667,0.97
eCommerce,0.6944444444444444,0.78125,0.7352941176470588,0.78
