Category,precision,recall,f1-score,accuracy
Advertising,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.68
Analytics,0.6744186046511628,0.8055555555555556,0.7341772151898734,0.81
Application Development,0.5833333333333334,0.6176470588235294,0.6,0.62
Backend,0.6326530612244898,0.7560975609756098,0.6888888888888889,0.76
Banking,0.875,0.9722222222222222,0.9210526315789473,0.97
Bitcoin,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.91
Chat,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.98
Cloud,0.5813953488372093,0.7352941176470589,0.6493506493506493,0.74
Data,0.53125,0.4722222222222222,0.4999999999999999,0.47
Database,0.7647058823529411,0.6341463414634146,0.6933333333333332,0.63
Domains,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.96
Education,0.8536585365853658,0.7142857142857143,0.7777777777777778,0.71
Email,0.8717948717948718,0.8095238095238095,0.8395061728395062,0.81
Enterprise,0.5294117647058824,0.36,0.42857142857142855,0.36
Entertainment,0.725,0.8285714285714286,0.7733333333333333,0.83
Events,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.82
File Sharing,0.972972972972973,0.9230769230769231,0.9473684210526315,0.92
Financial,0.6785714285714286,0.5135135135135135,0.5846153846153848,0.51
Games,0.875,0.8235294117647058,0.8484848484848485,0.82
Government,0.782608695652174,0.782608695652174,0.782608695652174,0.78
Images,0.8367346938775511,0.803921568627451,0.8200000000000001,0.8
Internet of Things,0.8181818181818182,0.8372093023255814,0.8275862068965518,0.84
Mapping,0.7551020408163265,0.9487179487179487,0.8409090909090908,0.95
Marketing,0.7291666666666666,0.7608695652173914,0.7446808510638298,0.76
Media,0.8387096774193549,0.8125,0.8253968253968254,0.81
Medical,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.91
Messaging,0.675,0.7941176470588235,0.7297297297297296,0.79
Music,0.9230769230769231,0.9,0.9113924050632911,0.9
News Services,1.0,0.875,0.9333333333333333,0.88
Other,0.5909090909090909,0.40625,0.4814814814814815,0.41
Payments,0.775,0.7560975609756098,0.7654320987654322,0.76
Photos,0.7924528301886793,0.875,0.8316831683168316,0.88
Project Management,0.8285714285714286,0.7435897435897436,0.7837837837837838,0.74
Real Estate,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9
Reference,0.37209302325581395,0.3902439024390244,0.380952380952381,0.39
Science,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.61
Search,0.7045454545454546,0.6326530612244898,0.6666666666666666,0.63
Security,0.5348837209302325,0.6388888888888888,0.5822784810126581,0.64
Shipping,0.8378378378378378,0.96875,0.8985507246376812,0.97
Social,0.5365853658536586,0.6285714285714286,0.5789473684210527,0.63
Sports,0.9069767441860465,0.8666666666666667,0.8863636363636364,0.87
Stocks,0.9361702127659575,1.0,0.967032967032967,1.0
Storage,0.825,0.8048780487804879,0.8148148148148149,0.8
Telephony,0.7368421052631579,0.6829268292682927,0.7088607594936709,0.68
Tools,0.4166666666666667,0.29411764705882354,0.3448275862068966,0.29
Transportation,0.7142857142857143,0.6976744186046512,0.7058823529411765,0.7
Travel,0.7714285714285715,0.84375,0.8059701492537314,0.84
Video,0.813953488372093,0.8974358974358975,0.8536585365853658,0.9
Weather,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.98
eCommerce,0.5769230769230769,0.7142857142857143,0.6382978723404256,0.71
