Category,precision,recall,f1-score,accuracy
Advertising,0.7837837837837838,0.7073170731707317,0.7435897435897436,0.71
Analytics,0.8333333333333334,0.9722222222222222,0.8974358974358975,0.97
Application Development,0.8387096774193549,0.7647058823529411,0.8,0.76
Backend,0.7777777777777778,0.8536585365853658,0.813953488372093,0.85
Banking,0.85,0.9444444444444444,0.8947368421052632,0.94
Bitcoin,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.91
Chat,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.98
Cloud,0.675,0.7941176470588235,0.7297297297297297,0.79
Data,0.7,0.7777777777777778,0.7368421052631579,0.78
Database,0.8823529411764706,0.7317073170731707,0.8,0.73
Domains,0.88,0.9777777777777777,0.9263157894736842,0.98
Education,0.8571428571428571,0.7346938775510204,0.7912087912087912,0.73
Email,0.7948717948717948,0.7380952380952381,0.7654320987654321,0.74
Enterprise,0.4827586206896552,0.28,0.35443037974683544,0.28
Entertainment,0.8648648648648649,0.9142857142857143,0.8888888888888888,0.91
Events,0.8292682926829268,0.8717948717948718,0.85,0.87
File Sharing,0.9512195121951219,1.0,0.975,1.0
Financial,0.7307692307692307,0.5135135135135135,0.6031746031746031,0.51
Games,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.82
Government,0.66,0.717391304347826,0.6875,0.72
Images,0.92,0.9019607843137255,0.9108910891089109,0.9
Internet of Things,0.7924528301886793,0.9767441860465116,0.875,0.98
Mapping,0.8421052631578947,0.8205128205128205,0.8311688311688312,0.82
Marketing,0.8333333333333334,0.8695652173913043,0.851063829787234,0.87
Media,0.8571428571428571,0.9375,0.8955223880597015,0.94
Medical,0.8636363636363636,0.8837209302325582,0.8735632183908046,0.88
Messaging,0.675,0.7941176470588235,0.7297297297297297,0.79
Music,0.9473684210526315,0.9,0.9230769230769231,0.9
News Services,0.9,0.9,0.9,0.9
Other,0.6764705882352942,0.71875,0.696969696969697,0.72
Payments,0.7948717948717948,0.7560975609756098,0.775,0.76
Photos,0.8103448275862069,0.9791666666666666,0.8867924528301887,0.98
Project Management,0.7674418604651163,0.8461538461538461,0.8048780487804879,0.85
Real Estate,0.9473684210526315,0.8571428571428571,0.9,0.86
Reference,0.38461538461538464,0.36585365853658536,0.375,0.37
Science,0.6764705882352942,0.5609756097560976,0.6133333333333333,0.56
Search,0.5227272727272727,0.46938775510204084,0.4946236559139785,0.47
Security,0.5135135135135135,0.5277777777777778,0.5205479452054794,0.53
Shipping,0.8421052631578947,1.0,0.9142857142857143,1.0
Social,0.4642857142857143,0.37142857142857144,0.4126984126984127,0.37
Sports,0.9512195121951219,0.8666666666666667,0.9069767441860465,0.87
Stocks,0.9347826086956522,0.9772727272727273,0.9555555555555556,0.98
Storage,0.8604651162790697,0.9024390243902439,0.8809523809523809,0.9
Telephony,0.7714285714285715,0.6585365853658537,0.7105263157894737,0.66
Tools,0.4074074074074074,0.3235294117647059,0.36065573770491804,0.32
Transportation,0.7555555555555555,0.7906976744186046,0.7727272727272727,0.79
Travel,0.8484848484848485,0.875,0.8615384615384616,0.88
Video,0.8048780487804879,0.8461538461538461,0.825,0.85
Weather,0.8367346938775511,0.9761904761904762,0.9010989010989011,0.98
eCommerce,0.6,0.6428571428571429,0.6206896551724138,0.64
