Category,precision,recall,f1-score,accuracy
Advertising,0.8292682926829268,0.85,0.8395061728395061,0.85
Analytics,0.8947368421052632,0.85,0.8717948717948718,0.85
Application Development,0.7450980392156863,0.8085106382978723,0.7755102040816326,0.81
Backend,0.7837837837837838,0.8529411764705882,0.8169014084507042,0.85
Banking,0.875,1.0,0.9333333333333333,1.0
Bitcoin,0.95,0.9743589743589743,0.9620253164556962,0.97
Chat,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.97
Cloud,0.8372093023255814,0.8571428571428571,0.8470588235294118,0.86
Data,0.875,0.7608695652173914,0.813953488372093,0.76
Database,0.9411764705882353,0.7272727272727273,0.8205128205128205,0.73
Domains,1.0,0.9714285714285714,0.9855072463768116,0.97
Education,0.7906976744186046,0.8717948717948718,0.8292682926829268,0.87
Email,0.9285714285714286,0.896551724137931,0.9122807017543859,0.9
Enterprise,0.6785714285714286,0.5135135135135135,0.5846153846153846,0.51
Entertainment,0.8333333333333334,0.9722222222222222,0.8974358974358975,0.97
Events,0.9423076923076923,1.0,0.9702970297029703,1.0
File Sharing,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.97
Financial,0.631578947368421,0.631578947368421,0.631578947368421,0.63
Games,0.8867924528301887,0.9591836734693877,0.9215686274509803,0.96
Government,0.9,0.782608695652174,0.8372093023255814,0.78
Images,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9
Internet of Things,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.91
Mapping,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.81
Marketing,0.8636363636363636,0.9743589743589743,0.9156626506024096,0.97
Media,0.918918918918919,0.9444444444444444,0.9315068493150684,0.94
Medical,0.88,0.9565217391304348,0.9166666666666666,0.96
Messaging,0.7567567567567568,0.8484848484848485,0.8,0.85
Music,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.96
News Services,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.95
Other,0.7837837837837838,0.8529411764705882,0.8169014084507042,0.85
Payments,0.8571428571428571,0.8333333333333334,0.8450704225352113,0.83
Photos,0.9772727272727273,0.8775510204081632,0.9247311827956989,0.88
Project Management,0.8095238095238095,0.8947368421052632,0.85,0.89
Real Estate,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.98
Reference,0.6956521739130435,0.3902439024390244,0.5,0.39
Science,0.8367346938775511,0.9318181818181818,0.8817204301075269,0.93
Search,0.7666666666666667,0.6388888888888888,0.696969696969697,0.64
Security,0.7105263157894737,0.7297297297297297,0.72,0.73
Shipping,0.9523809523809523,0.8888888888888888,0.9195402298850575,0.89
Social,0.6904761904761905,0.8055555555555556,0.7435897435897436,0.81
Sports,0.9387755102040817,0.9787234042553191,0.9583333333333334,0.98
Stocks,0.95,0.9047619047619048,0.926829268292683,0.9
Storage,0.95,0.95,0.95,0.95
Telephony,0.9523809523809523,0.851063829787234,0.898876404494382,0.85
Tools,0.7272727272727273,0.5853658536585366,0.6486486486486487,0.59
Transportation,0.7115384615384616,0.9024390243902439,0.7956989247311828,0.9
Travel,0.8611111111111112,0.8378378378378378,0.8493150684931506,0.84
Video,0.9666666666666667,0.8787878787878788,0.9206349206349206,0.88
Weather,0.918918918918919,0.9714285714285714,0.9444444444444444,0.97
eCommerce,0.7575757575757576,0.78125,0.7692307692307693,0.78
